2022/09/13 09:52:09 [emerg] 16120#18744: CreateFile() "E:\2022新版课程\苍穹外卖项目\授课资料\day01\资料\前端运行环境\nginx-1.20.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2022/09/19 14:13:10 [emerg] 6884#1840: CreateFile() "E:\2022新版课程\苍穹外卖项目\授课资料\day01\资料\前端运行环境\nginx-1.20.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2023/03/04 10:52:01 [emerg] 12092#12960: CreateFile() "E:\授课\北京JavaEE就业406期\苍穹外卖项目\资料\day01\前端运行环境\nginx-1.20.2/conf/nginx.conf" failed (1113: No mapping for the Unicode character exists in the target multi-byte code page)
2025/10/03 21:47:07 [error] 10028#24072: *2 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "POST /api/employee/login HTTP/1.1", upstream: "http://[::1]:8080/admin/employee/login", host: "localhost", referrer: "http://localhost/"
2025/10/03 21:52:55 [error] 10028#24072: *41 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/jw9b7c4c8w HTTP/1.1", upstream: "http://127.0.0.1:8080/ws/jw9b7c4c8w", host: "localhost"
2025/10/17 15:26:33 [error] 40720#12136: *58 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/category/list?type=1 HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/category/list?type=1", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:33 [error] 40720#12136: *57 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/dish/page?page=1&pageSize=10&status= HTTP/1.1", upstream: "http://[::1]:8080/admin/dish/page?page=1&pageSize=10&status=", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:33 [error] 40720#12136: *57 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/dish/page?page=1&pageSize=10&status= HTTP/1.1", upstream: "http://localhost/admin/dish/page?page=1&pageSize=10&status=", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:33 [error] 40720#12136: *61 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://[::1]:8080/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:33 [error] 40720#12136: *61 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:34 [error] 40720#12136: *63 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/ud3uaxj89a HTTP/1.1", upstream: "http://127.0.0.1:8080/ws/ud3uaxj89a", host: "localhost"
2025/10/17 15:26:34 [error] 40720#12136: *61 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/setmeal/page?page=1&pageSize=10&status= HTTP/1.1", upstream: "http://localhost/admin/setmeal/page?page=1&pageSize=10&status=", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:34 [error] 40720#12136: *57 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/category/list?type=2 HTTP/1.1", upstream: "http://localhost/admin/category/list?type=2", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:35 [error] 40720#12136: *58 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/category/list?type=1 HTTP/1.1", upstream: "http://[::1]:8080/admin/category/list?type=1", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:36 [error] 40720#12136: *58 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/dish/page?page=1&pageSize=10&status= HTTP/1.1", upstream: "http://localhost/admin/dish/page?page=1&pageSize=10&status=", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:36 [error] 40720#12136: *57 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/category/list?type=1 HTTP/1.1", upstream: "http://localhost/admin/category/list?type=1", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:38 [error] 40720#12136: *57 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/dish/page?page=1&pageSize=10&status= HTTP/1.1", upstream: "http://localhost/admin/dish/page?page=1&pageSize=10&status=", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:38 [error] 40720#12136: *58 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/category/list?type=1 HTTP/1.1", upstream: "http://localhost/admin/category/list?type=1", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:38 [error] 40720#12136: *61 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:40 [error] 40720#12136: *61 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/dish/page?page=1&pageSize=10&status= HTTP/1.1", upstream: "http://localhost/admin/dish/page?page=1&pageSize=10&status=", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:40 [error] 40720#12136: *57 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:40 [error] 40720#12136: *58 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/category/list?type=1 HTTP/1.1", upstream: "http://localhost/admin/category/list?type=1", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:42 [error] 40720#12136: *68 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/1en4n8lbu3y HTTP/1.1", upstream: "http://127.0.0.1:8080/ws/1en4n8lbu3y", host: "localhost"
2025/10/17 15:26:48 [error] 40720#12136: *61 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:50 [error] 40720#12136: *57 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/category/list?type=1 HTTP/1.1", upstream: "http://[::1]:8080/admin/category/list?type=1", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:50 [error] 40720#12136: *57 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/category/list?type=1 HTTP/1.1", upstream: "http://localhost/admin/category/list?type=1", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:50 [error] 40720#12136: *58 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/dish/page?page=1&pageSize=10&status= HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/dish/page?page=1&pageSize=10&status=", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:50 [error] 40720#12136: *58 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/dish/page?page=1&pageSize=10&status= HTTP/1.1", upstream: "http://localhost/admin/dish/page?page=1&pageSize=10&status=", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:50 [error] 40720#12136: *72 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/xrst300ps3 HTTP/1.1", upstream: "http://127.0.0.1:8080/ws/xrst300ps3", host: "localhost"
2025/10/17 15:26:50 [error] 40720#12136: *58 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/dish/page?page=1&pageSize=10&status= HTTP/1.1", upstream: "http://localhost/admin/dish/page?page=1&pageSize=10&status=", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:50 [error] 40720#12136: *57 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/category/list?type=1 HTTP/1.1", upstream: "http://localhost/admin/category/list?type=1", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:50 [error] 40720#12136: *61 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:52 [error] 40720#12136: *74 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/rr99jmbg15b HTTP/1.1", upstream: "http://127.0.0.1:8080/ws/rr99jmbg15b", host: "localhost"
2025/10/17 15:26:55 [error] 40720#12136: *61 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10&status=2 HTTP/1.1", upstream: "http://localhost/admin/order/conditionSearch?page=1&pageSize=10&status=2", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:55 [error] 40720#12136: *57 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:55 [error] 40720#12136: *58 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/businessData HTTP/1.1", upstream: "http://localhost/admin/workspace/businessData", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:55 [error] 40720#12136: *61 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewOrders HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewOrders", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:55 [error] 40720#12136: *57 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewDishes HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewDishes", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:55 [error] 40720#12136: *58 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewSetmeals HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewSetmeals", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:26:58 [error] 40720#12136: *58 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/admin/order/conditionSearch?page=1&pageSize=10", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:27:00 [error] 40720#12136: *58 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/dish/page?page=1&pageSize=10&status= HTTP/1.1", upstream: "http://localhost/admin/dish/page?page=1&pageSize=10&status=", host: "localhost", referrer: "http://localhost/"
2025/10/17 15:27:00 [error] 40720#12136: *57 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/category/list?type=1 HTTP/1.1", upstream: "http://localhost/admin/category/list?type=1", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *170 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10&status=2 HTTP/1.1", upstream: "http://[::1]:8080/admin/order/conditionSearch?page=1&pageSize=10&status=2", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *171 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *171 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *175 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewDishes HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/workspace/overviewDishes", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *175 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewDishes HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewDishes", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *177 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewOrders HTTP/1.1", upstream: "http://[::1]:8080/admin/workspace/overviewOrders", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *177 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewOrders HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewOrders", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *179 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewSetmeals HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/workspace/overviewSetmeals", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *179 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/overviewSetmeals HTTP/1.1", upstream: "http://localhost/admin/workspace/overviewSetmeals", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *173 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/businessData HTTP/1.1", upstream: "http://[::1]:8080/admin/workspace/businessData", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:35 [error] 40720#12136: *173 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/workspace/businessData HTTP/1.1", upstream: "http://localhost/admin/workspace/businessData", host: "localhost", referrer: "http://localhost/"
2025/10/18 21:03:37 [error] 40720#12136: *170 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10&status=2 HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/order/conditionSearch?page=1&pageSize=10&status=2", host: "localhost", referrer: "http://localhost/"
2025/10/19 15:43:55 [error] 40720#12136: *185 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/23 21:32:32 [error] 40720#12136: *321 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/details/12 HTTP/1.1", upstream: "http://[::1]:8080/admin/order/details/12", host: "localhost", referrer: "http://localhost/"
2025/10/23 21:32:34 [error] 40720#12136: *321 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/details/12 HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/order/details/12", host: "localhost", referrer: "http://localhost/"
2025/10/23 21:56:21 [error] 40720#12136: *339 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/details/14 HTTP/1.1", upstream: "http://[::1]:8080/admin/order/details/14", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:09 [error] 40720#12136: *385 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10 HTTP/1.1", upstream: "http://[::1]:8080/admin/order/conditionSearch?page=1&pageSize=10", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:09 [error] 40720#12136: *386 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:09 [error] 40720#12136: *386 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/shop/status HTTP/1.1", upstream: "http://localhost/admin/shop/status", host: "localhost", referrer: "http://localhost/"
2025/10/23 22:24:09 [error] 40720#12136: *407 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /ws/stuzxbz1az HTTP/1.1", upstream: "http://127.0.0.1:8080/ws/stuzxbz1az", host: "localhost"
2025/10/23 22:24:11 [error] 40720#12136: *385 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/order/conditionSearch?page=1&pageSize=10 HTTP/1.1", upstream: "http://127.0.0.1:8080/admin/order/conditionSearch?page=1&pageSize=10", host: "localhost", referrer: "http://localhost/"
